lon.to,lat.to,lon.from,lat.from,from,to,distance,from_population,from_pop_ratio,from_num_cars,to_population,to_pop_ratio,to_num_cars,cost,from.short,to.short
-74.0059728,40.7127753,-74.0059728,40.7127753,"New York, New York","New York, New York",0,19216182,0.11251799825912603,450,19216182,0.11251799825912603,450,100,New York,New York
-118.2436849,34.0522342,-74.0059728,40.7127753,"New York, New York","Los Angeles, California",2789.8852878000002,19216182,0.11251799825912603,450,13214799,0.0773776357278829,310,892.2904705693487,New York,Los Angeles
-87.6297982,41.8781136,-74.0059728,40.7127753,"New York, New York","Chicago, Illinois",789.4657082,19216182,0.11251799825912603,450,9458539,0.05538331572504234,222,521.4614861941717,New York,Chicago
-96.79698789999999,32.7766642,-74.0059728,40.7127753,"New York, New York","Dallas, Texas",1547.2686008,19216182,0.11251799825912603,450,7573136,0.04434356956361699,177,690.0300290493697,New York,Dallas
-95.3698028,29.7604267,-74.0059728,40.7127753,"New York, New York","Houston, Texas",1627.04269,19216182,0.11251799825912603,450,7066141,0.04137492248651366,165,705.0492585318983,New York,Houston
-77.0368707,38.9071923,-74.0059728,40.7127753,"New York, New York","Washington, District of Columbia",227.0974654,19216182,0.11251799825912603,450,6280487,0.036774621791803574,147,326.0462999365395,New York,Washington
-80.1917902,25.7616798,-74.0059728,40.7127753,"New York, New York","Miami, Florida",1278.0389726,19216182,0.11251799825912603,450,6166488,0.03610711462083995,144,636.2450641591025,New York,Miami
-75.1652215,39.9525839,-74.0059728,40.7127753,"New York, New York","Philadelphia, Pennsylvania",94.56962320000001,19216182,0.11251799825912603,450,6102434,0.035732054275320224,143,245.87037128903182,New York,Philadelphia
-84.3879824,33.7489954,-74.0059728,40.7127753,"New York, New York","Atlanta, Georgia",866.4242340000001,19216182,0.11251799825912603,450,6020364,0.03525150345012891,141,541.5262762848888,New York,Atlanta
-112.0740373,33.4483771,-74.0059728,40.7127753,"New York, New York","Phoenix, Arizona",2406.026623,19216182,0.11251799825912603,450,4948203,0.02897359613578817,116,835.7689788072068,New York,Phoenix
-71.0588801,42.3600825,-74.0059728,40.7127753,"New York, New York","Boston, Massachusetts",215.1032026,19216182,0.11251799825912603,450,4873019,0.028533365439538824,114,319.995955837829,New York,Boston
-122.4194155,37.7749295,-74.0059728,40.7127753,"New York, New York","San Francisco, California",2902.3301034,19216182,0.11251799825912603,450,4731803,0.027706492461224988,111,908.0991729144388,New York,San Francisco
-83.0457538,42.331427,-74.0059728,40.7127753,"New York, New York","Detroit, Michigan",614.8460942,19216182,0.11251799825912603,450,4319629,0.02529305812684696,101,471.9413545103583,New York,Detroit
-122.3320708,47.6062095,-74.0059728,40.7127753,"New York, New York","Seattle, Washington",2831.4898820000003,19216182,0.11251799825912603,450,3979845,0.0233034945641955,93,898.1761857196693,New York,Seattle
-93.2650108,44.977753,-74.0059728,40.7127753,"New York, New York","Minneapolis, Minnesota",1197.6285698000002,19216182,0.11251799825912603,450,3654908,0.021400865790158825,86,619.101558661694,New York,Minneapolis
-117.1610838,32.715738,-74.0059728,40.7127753,"New York, New York","San Diego, California",2758.8246088,19216182,0.11251799825912603,450,3338330,0.019547182116009736,78,887.8677154065904,New York,San Diego
-82.4571776,27.950575,-74.0059728,40.7127753,"New York, New York","Tampa, Florida",1129.295076,19216182,0.11251799825912603,450,3194831,0.018706941311036805,75,604.074788201116,New York,Tampa
-104.990251,39.7392358,-74.0059728,40.7127753,"New York, New York","Denver, Colorado",1776.6354190000002,19216182,0.11251799825912603,450,2967239,0.01737430425234372,69,732.2522987502695,New York,Denver
-90.19940419999999,38.6270025,-74.0059728,40.7127753,"New York, New York","St. Louis, Missouri",950.3231764000001,19216182,0.11251799825912603,450,2803228,0.016413957945648795,66,562.4096827381537,New York,St. Louis
-76.6121893,39.2903848,-74.0059728,40.7127753,"New York, New York","Baltimore, Maryland",187.7131334,19216182,0.11251799825912603,450,2800053,0.016395367122327455,66,305.51266387986897,New York,Baltimore
-80.8431267,35.2270869,-74.0059728,40.7127753,"New York, New York","Charlotte, North Carolina",627.1330364,19216182,0.11251799825912603,450,2636883,0.015439945188046148,62,475.63936586838184,New York,Charlotte
-81.3792365,28.5383355,-74.0059728,40.7127753,"New York, New York","Orlando, Florida",1073.2174544,19216182,0.11251799825912603,450,2608147,0.015271685062388813,61,591.3999666666655,New York,Orlando
